period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative,scenario,haircut_bps,break_even_monthly_bps
pre_2015,Value,size_balanced:double,1990-12,2015-06,295,0.04409318195409839,0.019061595111627305,0.025031586842471087,0.06506644067796609,0.21149192555318932,0.17499183905058682,-0.6620984386908414,-0.5809621481292239,0.3361210373453114,0.5423728813559322,1.359592695967459,-0.010037644067796612,0.0664480677966101,0.928,1.8885073008978481,double,40,23.54015460078726
pre_2015,Profitability,size_balanced:gross,1990-12,2015-06,295,0.026880314609400546,0.019061595111627305,0.007818719497773241,0.04667999999999999,0.20259070410005267,0.09222194107513171,-0.582061632879381,-0.5809621481292239,0.1580241898508101,0.511864406779661,0.7967108959400979,-0.011602474576271183,0.030616372881355932,0.8078,0.9195338861828652,gross,0,6.370811735406456
pre_2015,Profitability,size_balanced:base,1990-12,2015-06,295,0.024850011772481695,0.019061595111627305,0.00578841666085439,0.04472745762711864,0.2027323326136202,0.08256737188274306,-0.586298102840809,-0.5809621481292239,0.1237773877167219,0.5084745762711864,0.6254385571420168,-0.013599050847457626,0.028705016949152527,0.746,0.8283779073139246,base,20,6.370811735406456
pre_2015,Profitability,size_balanced:double,1990-12,2015-06,295,0.022819600194525336,0.019061595111627305,0.0037580050828980305,0.04277491525423728,0.2028916044492758,0.07291994024047828,-0.5905001563207675,-0.5809621481292239,0.08967659590756628,0.5084745762711864,0.4543790266197948,-0.01555179661016949,0.026754762711864364,0.6888,0.7413782283402752,double,40,6.370811735406456
pre_2015,Momentum,size_balanced:gross,1990-12,2015-06,295,0.03207363756721193,0.019061595111627305,0.013012042455584627,0.053025762711864405,0.20875971326146725,0.11981319758746413,-0.5857902697572153,-0.5809621481292239,0.1849154169912277,0.5220338983050847,0.8992249637675989,-0.01573469491525424,0.04756586440677961,0.8292,1.1729730395122675,gross,0,10.576696583756481
pre_2015,Momentum,size_balanced:base,1990-12,2015-06,295,0.007595339160481496,0.019061595111627305,-0.01146625595114581,0.029025762711864384,0.20875971326146725,0.005289444526947436,-0.6267064781589304,-0.5809621481292239,-0.10192590291103186,0.48135593220338985,-0.4956553533689435,-0.03973469491525426,0.02356586440677959,0.3014,0.20443819312106126,base,20,10.576696583756481
pre_2015,Momentum,size_balanced:double,1990-12,2015-06,295,-0.016349885242605167,0.019061595111627305,-0.03541148035423247,0.005025762711864381,0.20875971326146725,-0.10923430853356915,-0.6669759802042596,-0.5809621481292239,-0.3887672228132913,0.4440677966101695,-1.8905356705054859,-0.06373469491525426,-0.00043413559322041115,0.0244,-0.3331944012603181,double,40,10.576696583756481
pre_2015,Value+Momentum,size_balanced:gross,1990-12,2015-06,295,0.04133638524880201,0.019061595111627305,0.022274790137174705,0.06099864406779661,0.2041814397400346,0.16136824929867669,-0.6200367370143587,-0.5809621481292239,0.3526652181483624,0.5220338983050847,1.5996332968044522,-0.0026808050847457613,0.05156331355932202,0.9558,1.706739627664771,gross,0,18.033150488955403
pre_2015,Value+Momentum,size_balanced:base,1990-12,2015-06,295,0.027914074388120547,0.019061595111627305,0.008852479276493241,0.04802237288135594,0.2042435591095538,0.09804128277615694,-0.6411677384197185,-0.5809621481292239,0.1573202429705285,0.49830508474576274,0.7142475827000792,-0.01565011016949153,0.03858645762711863,0.7726,0.9676067704170979,base,20,18.033150488955403
pre_2015,Value+Momentum,size_balanced:double,1990-12,2015-06,295,0.014649516296015852,0.019061595111627305,-0.004412078815611453,0.03504610169491525,0.20431006420052236,0.034751969089137795,-0.6611470542615494,-0.5809621481292239,-0.03764352974093811,0.47796610169491527,-0.17108579447891833,-0.028636271186440694,0.025584050847457615,0.4252,0.4297813508108834,double,40,18.033150488955403
pre_2015,Value+Profitability,size_balanced:gross,1990-12,2015-06,295,0.038119475396261704,0.019061595111627305,0.0190578802846344,0.0578257627118644,0.2040497141389659,0.1459729951820999,-0.6196726930964253,-0.5809621481292239,0.3287778648825158,0.5491525423728814,1.434385093809558,-0.006165203389830497,0.04666466949152542,0.9366,1.5084978928104982,gross,0,15.450940781551996
pre_2015,Value+Profitability,size_balanced:base,1990-12,2015-06,295,0.036069113114320484,0.019061595111627305,0.017007518002693178,0.05587322033898305,0.20419220627323809,0.13634845610334403,-0.6235550912137167,-0.5809621481292239,0.2961628112894274,0.5457627118644067,1.2947576311277176,-0.00813622881355932,0.044670584745762666,0.915,1.3894954200797907,base,20,15.450940781551996
pre_2015,Value+Profitability,size_balanced:double,1990-12,2015-06,295,0.03401864253504083,0.019061595111627305,0.014957047423413528,0.0539206779661017,0.20435221441205123,0.12672651457069828,-0.627405730176255,-0.5809621481292239,0.2635116421341242,0.5322033898305085,1.1550585239908149,-0.010033601694915255,0.04264042372881345,0.8894,1.2759134024963474,double,40,15.450940781551996
