Date,M,V,P,VP,BV,BP,BVP,Mom,BMom,VM,VPM,VPM_intersection,BVM,BVPM,BVPM_intersection
2001-09,-0.07410000000000001,-0.09630000000000001,-0.0810625,-0.1372,-0.09575,-0.06575,-0.1604,-0.07435,-0.0652,-0.08532500000000001,-0.08390416666666667,-0.105775,-0.08047499999999999,-0.07556666666666667,-0.11279999999999998
2001-10,0.0102,0.0024250000000000005,0.0208125,0.0092,-0.0058249999999999994,0.007875,-0.0025,0.01235,0.0014000000000000002,0.0073875,0.0118625,0.010775,-0.0022124999999999996,0.0011500000000000002,-0.0005499999999999999
2001-11,-0.016300000000000002,-0.05689999999999999,-0.045387500000000004,-0.05779999999999999,-0.062525,-0.0412,-0.0642,-0.07105,-0.0768,-0.063975,-0.057779166666666666,-0.064425,-0.06966249999999999,-0.060175,-0.0705
2001-12,-0.0808,-0.09081249999999999,-0.09334999999999999,-0.08814999999999999,-0.0725,-0.07557499999999999,-0.0576,-0.07844999999999999,-0.0537,-0.08463124999999999,-0.08753749999999999,-0.08329999999999999,-0.06309999999999999,-0.06725833333333332,-0.05565
2002-01,-0.07680000000000001,-0.0502125,-0.052475,-0.031799999999999995,-0.05935,-0.06415,-0.0281,-0.0702,-0.092,-0.06020625,-0.05762916666666667,-0.051,-0.07567499999999999,-0.07183333333333333,-0.06005
2002-02,0.0521,0.0858,0.06801249999999999,0.1225,0.08727499999999999,0.0652,0.1331,0.0432,0.033,0.0645,0.06567083333333333,0.08285000000000001,0.060137499999999997,0.06182499999999999,0.08305
2002-03,0.0576,0.0331375,0.057550000000000004,0.07264999999999999,0.018125,0.04725,-0.005,0.015250000000000001,0.012,0.02419375,0.035312500000000004,0.043949999999999996,0.0150625,0.025791666666666668,0.0035
2002-04,0.0536,0.0613,0.05477500000000001,0.0749,0.06445000000000001,0.045875,0.0716,0.05865000000000001,0.0587,0.059975,0.05824166666666667,0.066775,0.061575000000000005,0.05634166666666667,0.06515
2002-05,0.07239999999999999,0.11286249999999998,0.09512499999999999,0.1297,0.10885,0.0808,0.1114,0.059550000000000006,0.0302,0.08620624999999998,0.08917916666666666,0.09462500000000001,0.069525,0.07328333333333333,0.0708
2002-06,-0.046599999999999996,-0.0292125,-0.0309875,-0.03505,-0.037275,-0.03535,-0.0361,-0.02015,-0.024399999999999998,-0.024681250000000002,-0.026783333333333336,-0.0276,-0.0308375,-0.032341666666666664,-0.03025
